"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年12月19日","57.46","57.30","57.64","57.16","36.29K","0.52%"
"2017年12月18日","57.16","57.37","57.78","56.82","137.15K","-0.24%"
"2017年12月15日","57.30","57.15","57.49","56.94","210.05K","0.46%"
"2017年12月14日","57.04","56.70","57.22","56.09","580.57K","0.78%"
"2017年12月13日","56.60","57.45","57.83","56.55","658.14K","-0.95%"
"2017年12月12日","57.14","58.02","58.56","56.85","826.49K","-1.47%"
"2017年12月11日","57.99","57.25","58.08","56.91","606.72K","1.10%"
"2017年12月8日","57.36","56.65","57.79","56.54","681.60K","1.18%"
"2017年12月7日","56.69","56.00","56.78","55.82","557.33K","1.30%"
"2017年12月6日","55.96","57.45","57.57","55.87","678.99K","-2.88%"
"2017年12月5日","57.62","57.48","57.92","57.08","499.25K","0.26%"
"2017年12月4日","57.47","58.32","58.34","57.35","529.97K","-1.53%"
"2017年12月1日","58.36","57.42","58.88","57.29","685.22K","1.67%"
"2017年11月30日","57.40","57.41","57.98","56.82","735.13K","0.17%"
"2017年11月29日","57.30","57.73","58.30","56.75","741.56K","-1.19%"
"2017年11月28日","57.99","57.86","58.11","57.42","546.53K","-0.21%"
"2017年11月27日","58.11","58.95","58.99","57.55","690.08K","-1.42%"
"2017年11月24日","58.95","58.05","59.05","57.75","577.83K","0.98%"
"2017年11月23日","58.38","57.97","58.58","57.76","-","0.62%"
"2017年11月22日","58.02","57.12","58.15","57.03","837.41K","2.09%"
"2017年11月21日","56.83","56.38","57.22","56.32","619.07K","1.32%"
"2017年11月20日","56.09","56.69","56.76","55.57","37.70K","-0.81%"
"2017年11月17日","56.55","55.25","56.68","55.18","184.94K","2.56%"
"2017年11月16日","55.14","55.30","55.62","54.93","213.92K","-0.34%"
"2017年11月15日","55.33","55.06","55.56","54.88","501.39K","-0.66%"
"2017年11月14日","55.70","56.72","56.77","54.81","707.34K","-1.87%"
"2017年11月13日","56.76","56.90","57.15","56.30","631.62K","0.04%"
"2017年11月10日","56.74","57.02","57.35","56.55","541.30K","-0.75%"
"2017年11月9日","57.17","56.85","57.53","56.69","666.95K","0.63%"
"2017年11月8日","56.81","56.96","57.92","56.41","919.15K","-0.68%"
"2017年11月7日","57.20","57.27","57.69","56.83","750.19K","-0.26%"
"2017年11月6日","57.35","55.97","57.61","55.66","861.71K","3.07%"
"2017年11月3日","55.64","54.73","55.76","54.40","614.16K","2.02%"
"2017年11月2日","54.54","54.28","54.84","53.99","482.85K","0.44%"
"2017年11月1日","54.30","54.65","55.22","53.89","671.04K","-0.15%"
"2017年10月31日","54.38","54.08","54.85","53.93","497.30K","0.42%"
"2017年10月30日","54.15","54.16","54.46","53.75","565.04K","0.46%"
"2017年10月27日","53.90","52.80","54.20","52.25","730.92K","2.39%"
"2017年10月26日","52.64","52.19","52.86","51.91","594.65K","0.88%"
"2017年10月25日","52.18","52.56","52.57","51.89","681.74K","-0.55%"
"2017年10月24日","52.47","51.89","52.62","51.55","709.55K","1.10%"
"2017年10月23日","51.90","52.07","52.30","51.68","583.56K","0.84%"
"2017年10月20日","51.47","51.42","51.73","50.70","32.96K","0.35%"
"2017年10月19日","51.29","52.05","52.17","51.07","127.41K","-1.44%"
"2017年10月18日","52.04","51.94","52.33","51.69","152.62K","0.31%"
"2017年10月17日","51.88","51.93","52.25","51.21","471.61K","0.02%"
"2017年10月16日","51.87","51.43","52.37","51.35","520.73K","0.82%"
"2017年10月13日","51.45","50.73","51.72","50.70","667.50K","1.68%"
"2017年10月12日","50.60","51.00","51.13","50.15","729.27K","-1.36%"
"2017年10月11日","51.30","50.94","51.42","50.61","651.95K","0.75%"
"2017年10月10日","50.92","49.55","51.06","49.54","664.84K","2.70%"
"2017年10月9日","49.58","49.25","49.79","49.13","505.08K","0.59%"
"2017年10月6日","49.29","50.75","50.82","49.10","743.11K","-2.95%"
"2017年10月5日","50.79","49.88","51.22","49.85","654.39K","1.62%"
"2017年10月4日","49.98","50.16","50.67","49.76","598.84K","-0.87%"
"2017年10月3日","50.42","50.59","50.73","50.14","462.74K","-0.32%"
"2017年10月2日","50.58","51.64","51.71","50.07","600.93K","-2.11%"
"2017年9月29日","51.67","51.58","51.77","51.25","551.98K","0.21%"
"2017年9月28日","51.56","52.05","52.86","51.22","801.82K","-1.11%"
"2017年9月27日","52.14","52.09","52.34","51.63","637.04K","0.50%"
"2017年9月26日","51.88","52.12","52.43","51.43","709.52K","-0.65%"
"2017年9月25日","52.22","50.68","52.28","50.39","701.24K","3.08%"
"2017年9月22日","50.66","50.73","50.78","50.29","473.80K","0.22%"
"2017年9月21日","50.55","50.72","50.81","50.07","580.57K","0.28%"
"2017年9月20日","50.41","49.84","50.65","49.75","35.49K","1.88%"
"2017年9月19日","49.48","49.91","50.42","49.33","143.38K","-0.86%"
"2017年9月18日","49.91","49.85","50.33","49.19","189.61K","0.04%"
"2017年9月15日","49.89","49.72","50.13","49.41","433.60K","0.00%"
"2017年9月14日","49.89","49.31","50.50","49.15","709.04K","1.20%"
"2017年9月13日","49.30","48.34","49.40","48.12","706.93K","2.22%"
"2017年9月12日","48.23","48.12","48.44","47.73","676.04K","0.33%"
"2017年9月11日","48.07","47.58","48.27","47.00","774.47K","1.24%"
"2017年9月8日","47.48","49.09","49.26","47.27","843.76K","-3.28%"
"2017年9月7日","49.09","49.14","49.33","48.63","702.51K","-0.14%"
"2017年9月6日","49.16","48.59","49.42","48.52","788.96K","1.03%"
"2017年9月5日","48.66","47.28","48.98","47.15","1.03M","2.64%"
"2017年9月4日","47.41","47.31","47.66","47.16","-","0.19%"
"2017年9月3日","47.32","47.31","47.42","47.30","-","0.06%"
"2017年9月1日","47.29","47.08","47.35","46.56","742.81K","0.13%"
"2017年8月31日","47.23","45.95","47.47","45.58","915.71K","2.76%"
"2017年8月30日","45.96","46.31","46.72","45.84","882.98K","-1.03%"
"2017年8月29日","46.44","46.86","46.96","45.76","895.64K","-0.28%"
"2017年8月28日","46.57","47.89","48.20","46.15","921.29K","-2.72%"
"2017年8月25日","47.87","47.62","47.91","47.39","646.52K","0.93%"
"2017年8月24日","47.43","48.36","48.43","47.06","831.36K","-2.02%"
"2017年8月23日","48.41","47.64","48.50","47.53","701.69K","1.62%"
"2017年8月22日","47.64","47.45","48.03","47.20","38.40K","0.57%"
"2017年8月21日","47.37","48.72","48.75","47.03","129.19K","-2.35%"
"2017年8月18日","48.51","46.93","48.74","46.78","253.07K","3.02%"
"2017年8月17日","47.09","46.80","47.19","46.46","608.31K","0.66%"
"2017年8月16日","46.78","47.72","47.99","46.67","815.54K","-1.62%"
"2017年8月15日","47.55","47.49","47.90","47.02","770.36K","-0.08%"
"2017年8月14日","47.59","48.79","49.16","47.43","763.24K","-2.52%"
"2017年8月11日","48.82","48.52","48.98","47.98","804.24K","0.47%"
"2017年8月10日","48.59","49.68","50.22","48.35","1.14M","-1.96%"
"2017年8月9日","49.56","49.00","49.72","48.90","858.25K","0.79%"
"2017年8月8日","49.17","49.31","49.79","48.86","924.24K","-0.45%"
"2017年8月7日","49.39","49.59","49.73","48.54","831.37K","-0.38%"
"2017年8月4日","49.58","48.95","49.64","48.50","745.66K","1.12%"
"2017年8月3日","49.03","49.59","49.96","48.78","837.76K","-1.13%"
"2017年8月2日","49.59","48.80","49.65","48.55","847.72K","0.87%"
"2017年8月1日","49.16","50.21","50.43","48.37","1.01M","-2.01%"
"2017年7月31日","50.17","49.85","50.41","49.18","781.54K","0.93%"
"2017年7月28日","49.71","49.17","49.81","48.86","771.23K","1.37%"
"2017年7月27日","49.04","48.70","49.24","48.25","880.76K","0.59%"
"2017年7月26日","48.75","48.51","48.87","47.86","887.86K","1.80%"
"2017年7月25日","47.89","46.46","48.66","46.38","885.70K","3.34%"
"2017年7月24日","46.34","45.62","46.53","45.40","707.91K","1.25%"
"2017年7月21日","45.77","46.91","47.21","45.54","769.44K","-2.18%"
"2017年7月20日","46.79","47.09","47.55","46.66","23.24K","-0.70%"
"2017年7月19日","47.12","46.25","47.26","46.14","140.68K","1.55%"
"2017年7月18日","46.40","45.99","46.92","45.81","208.42K","0.83%"
"2017年7月17日","46.02","46.68","46.88","45.89","560.63K","-1.12%"
"2017年7月14日","46.54","46.08","46.74","45.80","742.90K","1.00%"
"2017年7月13日","46.08","45.44","46.28","44.99","748.97K","1.30%"
"2017年7月12日","45.49","45.74","46.48","45.11","963.51K","1.00%"
"2017年7月11日","45.04","44.58","45.81","43.83","1.01M","1.44%"
"2017年7月10日","44.40","44.35","44.84","43.65","848.57K","0.38%"
"2017年7月7日","44.23","45.35","45.42","43.78","975.91K","-2.83%"
"2017年7月6日","45.52","45.65","46.53","45.18","969.68K","0.86%"
"2017年7月5日","45.13","47.04","47.32","44.51","1.17M","-4.24%"
"2017年7月4日","47.13","47.06","47.31","46.74","-","0.13%"
"2017年7月3日","47.07","46.28","47.10","45.92","517.62K","2.24%"
"2017年6月30日","46.04","44.89","46.35","44.88","677.41K","2.47%"
"2017年6月29日","44.93","44.89","45.45","44.65","768.95K","0.42%"
"2017年6月28日","44.74","43.70","44.90","43.67","753.38K","1.13%"
"2017年6月27日","44.24","43.49","44.44","43.32","759.12K","1.98%"
"2017年6月26日","43.38","43.16","43.65","42.63","661.35K","0.86%"
"2017年6月23日","43.01","42.80","43.20","42.53","690.91K","0.63%"
"2017年6月22日","42.74","42.55","43.32","42.26","668.83K","0.49%"
"2017年6月21日","42.53","43.38","44.20","42.05","1.07M","-1.62%"
"2017年6月20日","43.23","44.11","44.40","42.75","29.57K","-2.19%"
"2017年6月19日","44.20","44.68","45.06","44.05","123.94K","-1.21%"
"2017年6月16日","44.74","44.25","44.94","44.24","191.82K","0.63%"
"2017年6月15日","44.46","44.69","44.81","44.22","500.94K","-0.60%"
"2017年6月14日","44.73","45.94","46.49","44.54","924.41K","-3.72%"
"2017年6月13日","46.46","46.01","46.57","45.56","783.32K","0.82%"
"2017年6月12日","46.08","45.80","46.71","45.66","666.77K","0.55%"
"2017年6月9日","45.83","45.71","46.18","45.27","735.93K","0.42%"
"2017年6月8日","45.64","45.85","46.18","45.20","927.70K","-0.17%"
"2017年6月7日","45.72","47.98","48.23","45.65","1.18M","-5.13%"
"2017年6月6日","48.19","47.40","48.40","46.94","825.06K","1.67%"
"2017年6月5日","47.40","47.71","48.42","46.86","710.20K","-0.55%"
"2017年6月2日","47.66","48.04","48.19","46.74","802.66K","-1.45%"
"2017年6月1日","48.36","48.63","49.17","47.90","774.48K","0.08%"
"2017年5月31日","48.32","49.65","49.71","47.73","779.14K","-2.70%"
"2017年5月30日","49.66","49.93","50.28","49.03","663.49K","-0.62%"
"2017年5月29日","49.97","49.95","50.29","49.52","-","0.06%"
"2017年5月28日","49.94","49.93","50.04","49.85","-","0.28%"
"2017年5月26日","49.80","48.75","49.94","48.18","763.92K","1.84%"
"2017年5月25日","48.90","51.25","52.00","48.45","1.15M","-4.79%"
"2017年5月24日","51.36","51.44","51.88","51.03","736.34K","-0.21%"
"2017年5月23日","51.47","51.04","51.79","50.57","584.14K","1.46%"
"2017年5月22日","50.73","50.60","51.06","50.44","30.01K","0.79%"
"2017年5月19日","50.33","49.28","50.53","49.28","146.45K","1.99%"
"2017年5月18日","49.35","48.93","49.60","48.05","242.75K","0.57%"
"2017年5月17日","49.07","48.23","49.50","48.03","650.11K","0.84%"
"2017年5月16日","48.66","48.82","49.38","48.17","589.21K","-0.39%"
"2017年5月15日","48.85","47.85","49.66","47.75","687.15K","2.11%"
"2017年5月12日","47.84","47.81","48.07","47.35","537.49K","0.02%"
"2017年5月11日","47.83","47.39","48.22","47.34","661.78K","1.06%"
"2017年5月10日","47.33","46.18","47.78","46.01","819.80K","3.16%"
"2017年5月9日","45.88","46.49","46.78","45.53","701.94K","-1.18%"
"2017年5月8日","46.43","46.35","46.98","45.73","785.06K","0.45%"
"2017年5月5日","46.22","45.51","46.68","43.76","1.02M","1.54%"
"2017年5月4日","45.52","47.60","47.75","45.29","943.96K","-4.81%"
"2017年5月3日","47.82","48.12","48.23","47.30","691.32K","0.34%"
"2017年5月2日","47.66","48.78","49.28","47.35","702.38K","-2.42%"
"2017年5月1日","48.84","49.17","49.32","48.59","364.39K","-0.99%"
"2017年4月28日","49.33","49.27","49.76","48.80","633.99K","0.74%"
"2017年4月27日","48.97","49.22","49.43","48.20","771.19K","-1.31%"
"2017年4月26日","49.62","49.36","50.20","48.94","655.72K","0.12%"
"2017年4月25日","49.56","49.22","49.83","48.87","587.24K","0.67%"
"2017年4月24日","49.23","49.68","50.22","49.03","517.90K","-0.79%"
"2017年4月21日","49.62","50.71","50.93","49.20","687.47K","-1.29%"
"2017年4月20日","50.27","50.63","50.97","50.18","33.75K","-0.34%"
"2017年4月19日","50.44","52.36","52.65","50.09","133.17K","-3.76%"
"2017年4月18日","52.41","52.75","52.85","52.10","202.04K","-0.46%"
"2017年4月17日","52.65","52.97","53.21","52.55","326.34K","-1.00%"
"2017年4月13日","53.18","52.85","53.39","52.82","480.84K","0.13%"
"2017年4月12日","53.11","53.40","53.76","52.71","629.81K","-0.54%"
"2017年4月11日","53.40","53.13","53.45","52.70","598.00K","0.60%"
"2017年4月10日","53.08","52.31","53.18","52.29","565.44K","1.61%"
"2017年4月7日","52.24","51.70","52.94","51.49","796.44K","1.04%"
"2017年4月6日","51.70","50.80","51.82","50.77","473.02K","1.08%"
"2017年4月5日","51.15","51.18","51.88","50.74","651.40K","0.24%"
"2017年4月4日","51.03","50.24","51.30","49.88","532.05K","1.57%"
"2017年4月3日","50.24","50.69","50.83","50.12","440.72K","-0.71%"
"2017年3月31日","50.60","50.32","50.85","49.90","527.61K","0.50%"
"2017年3月30日","50.35","49.60","50.47","49.27","580.67K","1.70%"
"2017年3月29日","49.51","48.47","49.63","48.38","548.62K","2.36%"
"2017年3月28日","48.37","47.89","48.74","47.80","502.38K","1.34%"
"2017年3月27日","47.73","48.12","48.28","47.08","466.18K","-0.50%"
"2017年3月24日","47.97","47.67","48.20","47.54","421.03K","0.57%"
"2017年3月23日","47.70","48.15","48.48","47.58","499.88K","-0.71%"
"2017年3月22日","48.04","48.16","48.32","47.01","680.85K","1.48%"
"2017年3月21日","47.34","47.93","48.73","47.23","28.08K","-1.82%"
"2017年3月20日","48.22","48.70","48.74","47.84","142.26K","-1.15%"
"2017年3月17日","48.78","48.79","49.20","48.60","172.34K","0.06%"
"2017年3月16日","48.75","49.01","49.62","48.45","516.85K","-0.23%"
"2017年3月15日","48.86","48.76","49.04","48.16","655.79K","2.39%"
"2017年3月14日","47.72","48.45","48.79","47.09","857.71K","-1.40%"
"2017年3月13日","48.40","48.45","48.68","47.90","601.36K","-0.19%"
"2017年3月10日","48.49","49.61","50.11","48.31","796.96K","-1.60%"
"2017年3月9日","49.28","50.22","50.84","48.59","1.07M","-1.99%"
"2017年3月8日","50.28","52.79","52.92","50.05","963.39K","-5.38%"
"2017年3月7日","53.14","53.17","53.80","52.71","494.68K","-0.11%"
"2017年3月6日","53.20","53.19","53.56","52.76","503.69K","-0.24%"
"2017年3月3日","53.33","52.58","53.39","52.55","436.36K","1.37%"
"2017年3月2日","52.61","53.69","53.80","52.54","638.39K","-2.27%"
"2017年3月1日","53.83","53.95","54.44","53.63","491.29K","-0.33%"
"2017年2月28日","54.01","54.04","54.23","53.18","593.91K","-0.07%"
"2017年2月27日","54.05","54.02","54.61","53.94","394.38K","0.11%"
"2017年2月24日","53.99","54.33","54.51","53.76","395.26K","-0.84%"
"2017年2月23日","54.45","53.91","54.94","53.87","529.88K","1.60%"
"2017年2月22日","53.59","54.26","54.60","53.35","499.48K","-0.87%"
"2017年2月21日","54.06","53.48","54.68","53.35","44.05K","0.17%"
"2017年2月20日","53.97","53.78","54.24","53.73","-","0.33%"
"2017年2月19日","53.79","53.86","53.96","53.78","-","0.73%"
"2017年2月17日","53.40","53.47","53.52","52.88","195.35K","0.07%"
"2017年2月16日","53.36","53.01","53.59","52.68","343.36K","0.47%"
"2017年2月15日","53.11","53.00","53.51","52.73","463.64K","-0.17%"
"2017年2月14日","53.20","52.91","53.72","52.86","493.02K","0.51%"
"2017年2月13日","52.93","53.80","53.95","52.77","586.03K","-1.73%"
"2017年2月10日","53.86","53.15","54.13","52.90","596.45K","1.62%"
"2017年2月9日","53.00","52.37","53.21","52.37","610.20K","1.26%"
"2017年2月8日","52.34","51.64","52.67","51.22","767.38K","0.33%"
"2017年2月7日","52.17","53.14","53.24","51.63","624.06K","-1.58%"
"2017年2月6日","53.01","53.81","54.13","52.91","425.09K","-1.52%"
"2017年2月3日","53.83","53.68","54.22","53.40","462.62K","0.54%"
"2017年2月2日","53.54","53.57","54.34","53.35","492.55K","-0.63%"
"2017年2月1日","53.88","52.76","53.91","52.64","577.24K","2.03%"
"2017年1月31日","52.81","52.60","53.56","52.24","586.68K","0.34%"
"2017年1月30日","52.63","53.15","53.46","52.41","486.31K","-1.02%"
"2017年1月27日","53.17","53.74","54.08","52.58","495.56K","-1.13%"
"2017年1月26日","53.78","52.96","54.06","52.79","578.07K","1.95%"
"2017年1月25日","52.75","52.95","53.47","52.56","589.71K","-0.81%"
"2017年1月24日","53.18","52.86","53.56","52.67","520.29K","0.82%"
"2017年1月23日","52.75","53.33","53.47","52.21","455.33K","0.63%"
"2017年1月20日","52.42","51.45","52.90","51.39","-","2.04%"
"2017年1月19日","51.37","51.39","51.87","51.02","122.59K","0.57%"
"2017年1月18日","51.08","52.52","52.79","50.91","236.24K","-2.67%"
"2017年1月17日","52.48","52.55","53.52","52.12","606.02K","-0.08%"
"2017年1月16日","52.52","52.46","52.72","52.13","-","0.13%"
"2017年1月15日","52.45","52.53","52.56","52.39","-","0.15%"
"2017年1月13日","52.37","53.05","53.17","52.27","477.99K","-1.21%"
"2017年1月12日","53.01","52.37","53.50","52.12","660.70K","1.45%"
"2017年1月11日","52.25","50.81","52.78","50.75","815.85K","2.81%"
"2017年1月10日","50.82","51.83","52.37","50.71","632.57K","-2.19%"
"2017年1月9日","51.96","53.75","53.83","51.76","564.89K","-3.76%"
"2017年1月6日","53.99","53.73","54.32","53.32","528.33K","0.43%"
"2017年1月5日","53.76","53.39","54.12","52.79","517.36K","0.94%"
"2017年1月4日","53.26","52.49","53.43","52.15","512.64K","1.78%"
"2017年1月3日","52.33","54.20","55.24","52.11","727.79K","-3.15%"
"2017年1月2日","54.03","54.09","54.18","54.01","-","0.58%"
"2016年12月30日","53.72","53.87","54.09","53.41","271.09K","-0.09%"
"2016年12月29日","53.77","53.66","54.21","53.46","360.19K","-0.54%"
"2016年12月28日","54.06","53.93","54.37","53.56","322.54K","0.30%"
"2016年12月27日","53.90","53.29","54.10","53.03","277.31K","1.33%"
"2016年12月26日","53.19","53.33","53.34","53.14","-","0.32%"
"2016年12月23日","53.02","52.68","53.28","52.26","285.17K","0.13%"
"2016年12月22日","52.95","52.52","53.19","52.08","393.49K","0.88%"
"2016年12月21日","52.49","53.56","53.79","52.32","471.99K","0.50%"
"2016年12月20日","52.23","52.11","52.70","51.85","26.17K","0.21%"
"2016年12月19日","52.12","52.15","52.52","51.51","129.99K","0.42%"
"2016年12月16日","51.90","51.10","52.08","50.50","252.57K","1.96%"
"2016年12月15日","50.90","50.79","51.48","49.95","551.76K","-0.27%"
"2016年12月14日","51.04","52.45","52.78","50.67","677.96K","-3.66%"
"2016年12月13日","52.98","52.51","53.41","52.35","638.40K","0.28%"
"2016年12月12日","52.83","52.58","54.51","52.18","847.03K","2.58%"
"2016年12月9日","51.50","50.92","51.66","50.86","652.04K","1.30%"
"2016年12月8日","50.84","49.88","50.98","49.61","780.06K","2.15%"
"2016年12月7日","49.77","50.93","51.20","49.72","816.88K","-2.28%"
"2016年12月6日","50.93","50.97","51.60","50.28","642.75K","-1.66%"
"2016年12月5日","51.79","51.46","52.42","50.93","600.78K","0.21%"
"2016年12月2日","51.68","51.01","51.73","50.18","667.10K","1.21%"
"2016年12月1日","51.06","49.07","51.80","48.98","974.81K","3.28%"
"2016年11月30日","49.44","45.24","49.90","45.22","1.31M","9.31%"
"2016年11月29日","45.23","46.88","46.98","44.82","732.82K","-3.93%"
"2016年11月28日","47.08","45.43","47.65","45.14","734.38K","2.21%"
"2016年11月25日","46.06","47.97","48.26","45.88","465.98K","-4.00%"
"2016年11月24日","47.98","48.03","48.26","47.80","-","0.04%"
"2016年11月23日","47.96","47.94","48.43","47.40","556.86K","-0.15%"
"2016年11月22日","48.03","48.37","49.20","47.17","826.21K","1.14%"
"2016年11月21日","47.49","45.83","47.80","45.77","34.92K","3.94%"
"2016年11月18日","45.69","44.93","45.77","44.55","155.65K","0.59%"
"2016年11月17日","45.42","45.37","46.58","44.88","284.87K","-0.33%"
"2016年11月16日","45.57","45.77","46.41","45.03","658.17K","-0.52%"
"2016年11月15日","45.81","43.76","46.09","43.55","706.18K","5.75%"
"2016年11月14日","43.32","43.20","43.81","42.20","704.77K","-0.21%"
"2016年11月11日","43.41","44.35","44.63","43.03","631.14K","-2.80%"
"2016年11月10日","44.66","45.31","45.64","44.25","686.34K","-1.35%"
"2016年11月9日","45.27","44.82","45.95","43.07","946.51K","0.64%"
"2016年11月8日","44.98","44.97","45.39","44.41","669.64K","0.20%"
"2016年11月7日","44.89","44.45","45.01","44.11","605.73K","1.86%"
"2016年11月4日","44.07","44.63","44.87","43.57","736.69K","-1.32%"
"2016年11月3日","44.66","45.48","45.90","44.37","540.44K","-1.50%"
"2016年11月2日","45.34","46.32","46.47","44.96","674.32K","-2.85%"
"2016年11月1日","46.67","46.77","47.35","46.20","834.99K","-0.41%"
"2016年10月31日","46.86","48.25","48.74","46.63","649.24K","-3.78%"
"2016年10月28日","48.70","49.61","49.81","48.42","550.08K","-2.05%"
"2016年10月27日","49.72","49.22","50.06","49.00","543.17K","1.10%"
"2016年10月26日","49.18","49.31","50.10","48.87","679.32K","-1.56%"
"2016年10月25日","49.96","50.49","50.93","49.27","553.78K","-1.11%"
"2016年10月24日","50.52","50.85","50.98","49.62","623.40K","-0.65%"
"2016年10月21日","50.85","50.66","51.02","50.21","551.30K","0.83%"
"2016年10月20日","50.43","51.40","51.58","50.25","24.86K","-2.27%"
"2016年10月19日","51.60","50.77","51.93","50.69","132.43K","2.60%"
"2016年10月18日","50.29","50.04","50.78","49.76","192.80K","0.70%"
"2016年10月17日","49.94","50.23","50.58","49.47","418.72K","-0.81%"
"2016年10月14日","50.35","50.58","51.14","49.90","519.43K","-0.18%"
"2016年10月13日","50.44","50.00","50.59","49.36","740.68K","0.52%"
"2016年10月12日","50.18","50.84","51.17","49.89","533.88K","-1.20%"
"2016年10月11日","50.79","51.10","51.54","50.39","765.61K","-1.09%"
"2016年10月10日","51.35","49.57","51.60","49.15","686.07K","3.09%"
"2016年10月7日","49.81","50.59","50.74","49.40","618.81K","-1.25%"
"2016年10月6日","50.44","49.65","50.63","49.33","547.92K","1.22%"
"2016年10月5日","49.83","49.26","49.97","49.10","520.07K","2.34%"
"2016年10月4日","48.69","48.65","49.26","48.26","513.71K","-0.25%"
"2016年10月3日","48.81","48.04","49.02","47.78","458.02K","1.18%"
"2016年9月30日","48.24","47.76","48.30","47.04","496.52K","0.86%"
"2016年9月29日","47.83","47.20","48.32","46.60","702.65K","1.66%"
"2016年9月28日","47.05","44.96","47.45","44.35","1.01M","5.33%"
"2016年9月27日","44.67","45.62","45.96","44.19","630.76K","-2.74%"
"2016年9月26日","45.93","44.62","46.20","44.43","527.12K","3.26%"
"2016年9月23日","44.48","46.07","46.55","44.22","718.40K","-3.97%"
"2016年9月22日","46.32","45.62","46.52","45.52","521.68K","2.16%"
"2016年9月21日","45.34","44.50","45.65","44.50","585.99K","4.37%"
"2016年9月20日","43.44","43.13","44.05","42.55","37.38K","0.32%"
"2016年9月19日","43.30","43.18","44.15","43.12","129.86K","0.63%"
"2016年9月16日","43.03","43.71","43.75","42.74","231.19K","-2.00%"
"2016年9月15日","43.91","43.70","44.34","43.26","537.19K","0.76%"
"2016年9月14日","43.58","45.00","45.33","43.42","705.86K","-2.94%"
"2016年9月13日","44.90","46.06","46.13","44.77","657.78K","-3.00%"
"2016年9月12日","46.29","45.57","46.51","44.72","745.02K","0.89%"
"2016年9月9日","45.88","47.36","47.36","45.56","688.19K","-3.65%"
"2016年9月8日","47.62","46.12","47.75","45.77","761.94K","4.66%"
"2016年9月7日","45.50","44.85","46.17","44.55","572.88K","1.49%"
"2016年9月6日","44.83","44.15","46.53","43.84","932.15K","-0.53%"
"2016年9月5日","45.07","44.12","46.53","44.07","-","2.18%"
"2016年9月4日","44.11","44.15","44.38","44.10","-","-0.74%"
"2016年9月2日","44.44","43.55","44.67","43.16","576.92K","2.97%"
"2016年9月1日","43.16","44.85","45.08","43.00","605.00K","-3.45%"
"2016年8月31日","44.70","46.24","46.41","44.51","549.01K","-3.56%"
"2016年8月30日","46.35","46.98","47.49","46.21","464.45K","-1.34%"
"2016年8月29日","46.98","47.22","47.28","46.62","309.25K","-1.39%"
"2016年8月26日","47.64","47.37","48.46","46.94","558.34K","0.65%"
"2016年8月25日","47.33","46.80","47.46","46.42","458.82K","1.20%"
"2016年8月24日","46.77","47.59","47.74","46.45","603.50K","-2.77%"
"2016年8月23日","48.10","47.39","48.32","46.59","623.90K","2.23%"
"2016年8月22日","47.05","48.40","48.40","46.75","36.53K","-3.03%"
"2016年8月19日","48.52","48.33","48.75","47.93","162.44K","0.62%"
"2016年8月18日","48.22","46.90","48.38","46.63","229.28K","3.06%"
"2016年8月17日","46.79","46.37","46.95","45.84","563.35K","0.45%"
"2016年8月16日","46.58","45.59","46.73","45.34","550.44K","1.84%"
"2016年8月15日","45.74","44.74","45.93","44.38","522.53K","2.81%"
"2016年8月12日","44.49","43.46","44.78","43.31","536.08K","2.30%"
"2016年8月11日","43.49","41.48","43.86","41.10","682.24K","4.27%"
"2016年8月10日","41.71","42.74","43.39","41.42","676.15K","-2.48%"
"2016年8月9日","42.77","42.83","43.52","42.47","624.70K","-0.58%"
"2016年8月8日","43.02","41.99","43.39","41.81","562.53K","2.92%"
"2016年8月5日","41.80","41.84","42.10","41.06","550.19K","-0.31%"
"2016年8月4日","41.93","41.16","42.08","40.43","598.84K","2.69%"
"2016年8月3日","40.83","39.70","41.20","39.19","655.19K","3.34%"
"2016年8月2日","39.51","40.08","40.91","39.26","534.51K","-1.37%"
"2016年8月1日","40.06","41.35","41.88","39.82","533.02K","-3.70%"
"2016年7月29日","41.60","41.12","41.67","40.57","478.76K","1.12%"
"2016年7月28日","41.14","41.93","42.22","41.04","447.91K","-1.86%"
"2016年7月27日","41.92","42.66","43.20","41.68","537.39K","-2.33%"
"2016年7月26日","42.92","43.07","43.39","42.36","461.32K","-0.49%"
"2016年7月25日","43.13","44.20","44.37","42.97","389.84K","-2.40%"
"2016年7月22日","44.19","44.60","44.97","43.74","428.41K","-1.25%"
"2016年7月21日","44.75","45.65","46.09","44.52","432.97K","-0.42%"
"2016年7月20日","44.94","44.59","45.25","43.69","29.39K","0.65%"
"2016年7月19日","44.65","45.23","45.67","44.53","128.13K","-1.30%"
"2016年7月18日","45.24","46.12","46.14","44.86","211.39K","-1.55%"
"2016年7月15日","45.95","45.52","46.33","45.05","430.26K","0.59%"
"2016年7月14日","45.68","45.14","45.80","44.95","573.76K","2.08%"
"2016年7月13日","44.75","46.58","46.71","44.56","686.25K","-4.38%"
"2016年7月12日","46.80","44.58","46.93","44.51","658.26K","4.56%"
"2016年7月11日","44.76","45.07","45.77","44.42","533.66K","-1.43%"
"2016年7月8日","45.41","45.19","45.97","44.77","583.08K","0.60%"
"2016年7月7日","45.14","47.88","48.25","44.87","710.89K","-4.83%"
"2016年7月6日","47.43","46.83","47.95","45.92","607.66K","1.78%"
